"ID","Name","LongName","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\.columbus_java\CallEdgeExamples.ljsi","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\.columbus_java\CallEdgeExamples.ljsi","0.5","0.0841751","25","1","1","272","360","8","21","7","0","1","0","2","48","118","0","3","0","0","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L102","<System>","<System>","0.5","0.0841751","25","1","1","272","360","8","21","7","0","1","0","2","48","118","0","3","0","0","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
